Resolution Width: ,640
Resolution Height: ,480
Max Iterations: ,500
Time taken: ,12

Resolution Width: ,960
Resolution Height: ,540
Max Iterations: ,500
Time taken: ,7

Resolution Width: ,1280
Resolution Height: ,720
Max Iterations: ,500
Time taken: ,13

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,26

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,28

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,26

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,25

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,25

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,25

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,25

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,25

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,39

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,46

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,52

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,58

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,64

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,65

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,63

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,62

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,64

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,69

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,57

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,53

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,48

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,44

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,40

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,36

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,31

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,32

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,34

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,35

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,36

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,36

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,36

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,37

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,38

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,40

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,42

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,44

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,45

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,47

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,46

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,47

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,47

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,47

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,38

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,21

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,22

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,21

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,20

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,19

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,18

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,15

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,15

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,14

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,13

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,12

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,11

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,12

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,15

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,17

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,16

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,16

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,16

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,15

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,15

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,14

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,14

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,14

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,13

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,19

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,25

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,19

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,500
Time taken: ,24

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,1000
Time taken: ,41

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,1500
Time taken: ,55

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,71

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2500
Time taken: ,83

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,3000
Time taken: ,98

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,3500
Time taken: ,112

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,4000
Time taken: ,126

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,4500
Time taken: ,141

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,5000
Time taken: ,155

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,5500
Time taken: ,169

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,6000
Time taken: ,183

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,6500
Time taken: ,197

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,7000
Time taken: ,211

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,7500
Time taken: ,226

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,8000
Time taken: ,240

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,8500
Time taken: ,254

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,9000
Time taken: ,269

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,9500
Time taken: ,282

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,296

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,295

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,296

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,296

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,295

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,296

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,295

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,296

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,296

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,296

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,296

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,295

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,297

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,296

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,296

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,10000
Time taken: ,295

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,9500
Time taken: ,282

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,9000
Time taken: ,268

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,8500
Time taken: ,254

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,8000
Time taken: ,240

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,7500
Time taken: ,225

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,7000
Time taken: ,212

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,6500
Time taken: ,197

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,6000
Time taken: ,183

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,5500
Time taken: ,169

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,5000
Time taken: ,155

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,4500
Time taken: ,141

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,4000
Time taken: ,126

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,3500
Time taken: ,111

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,3000
Time taken: ,98

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2500
Time taken: ,83

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,69

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,67

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,66

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,65

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,64

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,64

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,64

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,65

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,65

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,65

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,66

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,66

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,67

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,68

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,69

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,69

Resolution Width: ,1920
Resolution Height: ,1080
Max Iterations: ,2000
Time taken: ,69

